,SMILES,logS
sample_866,c1ccc2c3c(ccc2c1)-c1cccc2cccc-3c12,-8
sample_867,Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-8.01
sample_868,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,-8.19
sample_869,c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,-8.23
sample_870,FC(F)(F)c1cccc(C(c2ccccc2)(c2ccccc2)n2cncn2)c1,-8.4
sample_871,Clc1cc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,-8.56
sample_872,Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,-8.6
sample_873,Clc1cc(Cl)c(-c2c(Cl)cc(Cl)cc2Cl)c(Cl)c1,-8.71
sample_874,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,-8.8
sample_875,Clc1ccc(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1,-8.94
sample_876,Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,-9.15
sample_877,Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,-9.16
sample_878,Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-11.62
sample_879,CNC(N)=O,1.13
sample_880,O=C1CCCO1,1.07
sample_881,O=C1CCCN1,1.07
sample_882,C1COCCN1,1.06
sample_883,OC1CCOC1,1.05
sample_884,CN1CCCC1=O,1
sample_885,OCc1cccnc1,0.96
sample_886,NC(N)=O,0.96
sample_887,C=CC(N)=O,0.96
sample_888,CN(C)C(=O)N(C)C,0.94
sample_889,CN(C)C,0.84
sample_890,CN1CCCC1c1cccnc1,0.79
sample_891,OCC1OC(O)C(O)C(O)C1O,0.74
sample_892,OCC(O)C(O)CO,0.7
sample_893,COC(C)=O,0.52
sample_894,O=C(O)CC(O)(CC(=O)O)C(=O)O,0.51
sample_895,CCOP(=O)(OCC)OCC,0.43
sample_896,CCC(C)O,0.43
sample_897,O=C(O)C(=O)O,0.38
sample_898,Cc1cncc(C)c1,0.38
sample_899,Cc1ccncc1C,0.36
sample_900,NC(N)=S,0.32
sample_901,CC(O)C(F)(F)F,0.3
sample_902,Cc1cnc2cncnc2n1,0.06
sample_903,C=C(C)C(=O)O,0.01
sample_904,CCCCO,0
sample_905,NC(=O)CCl,-0.02
sample_906,CCOC(C)=O,-0.04
sample_907,COC(C)C,-0.06
sample_908,OC(CCl)CCl,-0.11
sample_909,CCC(=O)OC,-0.14
sample_910,Oc1ccc(O)cc1,-0.17
sample_911,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,-0.22
sample_912,COC(C)(C)C,-0.24
sample_913,NC(=O)OCc1ccccc1,-0.35
sample_914,Nc1nccs1,-0.36
sample_915,O=C1CNC(=O)N1,-0.4
sample_916,O=C1NC(=O)C(=O)N1,-0.4
sample_917,CC(C)(C)CO,-0.4
sample_918,Nc1ccc(C(=O)O)cc1,-0.4
sample_919,Nc1ccccc1,-0.41
sample_920,CC(C)C(C)(C)O,-0.41
sample_921,CCCCOCCO,-0.42
sample_922,CCOC(C)OCC,-0.43
sample_923,O=C(O)CCI,-0.43
sample_924,CCCNCCC,-0.46
sample_925,CCC(C)CO,-0.47
sample_926,O=C(O)c1ccco1,-0.48
sample_927,CCCC(C)(C)O,-0.49
sample_928,CC(C)CCO,-0.52
sample_929,CC(=O)OC(C)C,-0.55
sample_930,CCOC(C)C,-0.55
sample_931,CCS,-0.6
sample_932,CCCCCO,-0.6
sample_933,CC(C)[N+](=O)[O-],-0.62
sample_934,Cc1c(N)c(=O)n(-c2ccccc2)n1C,-0.62
sample_935,Cc1ccccc1O,-0.62
sample_936,S=C1NCCN1,-0.71
sample_937,OCCc1ccccc1,-0.74
sample_938,CCC[N+](=O)[O-],-0.8
sample_939,CC(C)CC(C)O,-0.8
sample_940,CCCCC(C)=O,-0.8
sample_941,CCC(CC)C(=O)O,-0.81
sample_942,O=C(O)CCCCC(=O)O,-0.82
sample_943,O=C1CNC(=O)CN1,-0.83
sample_944,CN(C)C(=O)OC1=CC(=O)CC(C)(C)C1,-0.85
sample_945,Cc1ccccc1N,-0.85
sample_946,CCC(C)(O)C(C)C,-0.85
sample_947,CCC(C)C(C)(C)O,-0.89
sample_948,CCCCC(C)O,-0.89
sample_949,NC(=O)c1cnccn1,-0.91
sample_950,O=C(O)C(CO)c1ccccc1,-0.93
sample_951,CC1CCCCC1=O,-0.94
sample_952,NC(=O)NCc1ccccc1,-0.95
sample_953,CC(=O)N(C)c1ccccc1,-0.95
sample_954,CCN(N=O)C(N)=O,-0.96
sample_955,N#Cc1ccccc1,-1
sample_956,O=[N+]([O-])c1cccc(O)c1,-1.01
sample_957,CCC(C)(C)CO,-1.04
sample_958,ClCCCl,-1.06
sample_959,CC1=CC(=O)CC(C)(C)C1,-1.06
sample_960,Oc1ccccc1Cl,-1.06
sample_961,CCCCCC(=O)O,-1.06
sample_962,CCCCCCN,-1.1
sample_963,CCCC(C)CO,-1.11
sample_964,ClCCOCCCl,-1.12
sample_965,CCC(O)C(C)(C)C,-1.15
sample_966,O=C(O)c1cc(O)c(O)c(O)c1,-1.16
sample_967,BrCBr,-1.17
sample_968,Cc1cc(O)c2ccccc2n1,-1.2
sample_969,Cc1ccc(N)cc1,-1.21
sample_970,OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O,-1.23
sample_971,COC(=O)c1cc(O)c(O)c(O)c1,-1.24
sample_972,Cc1ncc([N+](=O)[O-])n1CCO,-1.26
sample_973,Cc1cc(=O)[nH]c(=O)[nH]1,-1.26
sample_974,Cc1cc(N)nc(C)n1,-1.28
sample_975,CNc1ccccc1,-1.28
sample_976,CCCC(=O)CCC,-1.3
sample_977,ClC=CCl,-1.3
sample_978,Cc1cccc(C)c1O,-1.31
sample_979,BrC=CBr,-1.32
sample_980,CCCOC(C)C,-1.34
sample_981,CNC(=NC#N)NCCSCc1nc[nH]c1C,-1.35
sample_982,C=CCCl,-1.36
sample_983,Nc1ccc(S(N)(=O)=O)cc1,-1.36
sample_984,O=C1OC(=O)c2ccccc21,-1.39
sample_985,Cc1ccc(O)cc1C,-1.41
sample_986,CC(C)Cl,-1.41
sample_987,O=C(O)c1ccc(O)cc1,-1.41
sample_988,CC1(C(=O)O)CCC(C(=O)O)C1(C)C,-1.42
sample_989,CN(C)C1C(O)=C(C(=O)NCN2CCCC2)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,-1.42
sample_990,CC(=O)CC(C)C,-1.42
sample_991,O=C(O)C1CCCCC1,-1.45
sample_992,CCNC(=S)NCC,-1.46
sample_993,CCCCCOC(N)=O,-1.47
sample_994,Nc1cccc(C(F)(F)F)c1,-1.47
sample_995,CCCCC(O)CC,-1.47
sample_996,O=c1cc[nH]c(=O)[nH]1,-1.48
sample_997,C=CCBr,-1.5
sample_998,c1ccc2scnc2c1,-1.5
sample_999,CCCC1CCCCN1,-1.5
sample_1000,Nc1ccccc1Cl,-1.52
sample_1001,Cc1c[nH]c(=O)[nH]c1=O,-1.52
sample_1002,ClC(Cl)Br,-1.54
sample_1003,NS(=O)(=O)c1ccccc1,-1.56
sample_1004,CC(C)Br,-1.59
sample_1005,NC(=O)NC1NC(=O)NC1=O,-1.6
sample_1006,CCI,-1.6
sample_1007,CCCCC(C)(O)CC,-1.6
sample_1008,NC(Cc1ccc(O)c(O)c1)C(=O)O,-1.6
sample_1009,CC(=O)c1ccc(N)cc1,-1.61
sample_1010,CC(=O)CC(=O)C(C)(C)C,-1.63
sample_1011,C#CCCC,-1.64
sample_1012,COC(=O)NS(=O)(=O)c1ccc(N)cc1,-1.66
sample_1013,COC(=O)c1ccccc1C(=O)OC,-1.66
sample_1014,O=C(O)CNC(=O)c1ccccc1,-1.68
sample_1015,CCCCC(CC)CN,-1.71
sample_1016,CCNC(=O)C(C)OC(=O)Nc1ccccc1,-1.83
sample_1017,OCC(O)C1OC2OC(C(Cl)(Cl)Cl)OC2C1O,-1.84
sample_1018,CCCCCCCN,-1.85
sample_1019,COC(=O)c1ccccc1,-1.85
sample_1020,CC12CCC(C1)C(C)(C)C2=O,-1.85
sample_1021,ClCCCBr,-1.85
sample_1022,C=CC=C,-1.87
sample_1023,O=c1ccc2ccccc2o1,-1.89
sample_1024,O=C(O)c1ccccc1Cl,-1.89
sample_1025,CC(=O)Nc1ccccc1[N+](=O)[O-],-1.91
sample_1026,ClCC(Cl)CCl,-1.92
sample_1027,Nc1cccc2ccccc12,-1.92
sample_1028,Cc1cc(C)c2ccccc2n1,-1.94
sample_1029,Nc1ncnc2c1ccn2C1OC(CO)C(O)C1O,-1.95
sample_1030,Cc1nc2ccccc2[nH]1,-1.96
sample_1031,COc1ccccc1O,-1.96
sample_1032,ClC=C(Cl)Cl,-1.96
sample_1033,Fc1ccc(F)cc1,-1.97
sample_1034,C=CC(C)(O)CCC=C(C)C,-1.99
sample_1035,N=C(N)NS(=O)(=O)c1ccc(N)cc1,-1.99
sample_1036,CC12CCC(CC1=O)C2(C)C,-1.99
sample_1037,CCCCCC(=O)OC,-2
sample_1038,CC(C)CCl,-2
sample_1039,Fc1cccc(F)c1,-2
sample_1040,C=CC(=C)C,-2.03
sample_1041,COc1cc(C(=O)O)ccc1O,-2.05
sample_1042,CC(C)=CCCC(C)=CC=O,-2.06
sample_1043,C=CCC1(CC=C)C(=O)NC(=O)NC1=O,-2.06
sample_1044,Cc1cccc2sc3nncn3c12,-2.07
sample_1045,BrCCCBr,-2.08
sample_1046,CNC(=O)ON=C1C(Cl)C2CC(C#N)C1C2,-2.08
sample_1047,CCSCc1ccccc1OC(=O)NC,-2.09
sample_1048,COCCOc1c(OC)cc(Cc2cnc(N)nc2N)cc1OC,-2.1
sample_1049,C1=CCCC1,-2.1
sample_1050,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,-2.11
sample_1051,CCCc1cc(=O)[nH]c(=S)[nH]1,-2.15
sample_1052,CC(Br)CBr,-2.15
sample_1053,c1ccc2[nH]ncc2c1,-2.16
sample_1054,C=C(C)C1CCC(C)C(=O)C1,-2.18
sample_1055,CCCCS,-2.18
sample_1056,Oc1cc(Cl)c(Cl)cc1Cl,-2.21
sample_1057,O=C1NC(=O)C(O)(C2(O)C(=O)NC(=O)NC2=O)C(=O)N1,-1.99
sample_1058,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,-2.23
sample_1059,O=C(NC(=O)c1ccccc1)c1ccccc1,-2.27
sample_1060,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,-2.27
sample_1061,CCCN(CCC)CCC,-2.28
sample_1062,O=C(O)c1ccccc1-c1ccccc1C(=O)O,-2.28
sample_1063,O=C(O)COc1ccc(Cl)cc1,-2.29
sample_1064,O=c1[nH]cnc2nc[nH]c12,-2.29
sample_1065,BrC1CCCCC1,-2.3
sample_1066,Nc1ccc(Cc2ccc(N)cc2)cc1,-2.3
sample_1067,CCCCCC(=O)OCC,-2.31
sample_1068,Cc1ccccc1[N+](=O)[O-],-2.33
sample_1069,CCOc1ccccc1,-2.33
sample_1070,CNC(=O)Oc1cccc(N=CN(C)C)c1,-2.34
sample_1071,CNC(=O)Oc1ccc(N(C)C)c(C)c1,-2.36
sample_1072,CC(=O)Nc1nnc(S(N)(=O)=O)s1,-2.36
sample_1073,Nc1ccc([N+](=O)[O-])cc1,-2.37
sample_1074,Fc1cc(F)c(F)cc1F,-2.38
sample_1075,Cc1ccsc1,-2.39
sample_1076,CCCCCCCCO,-2.39
sample_1077,COc1c2occc2c(OC)c2c(=O)cc(C)oc12,-2.4
sample_1078,CC(C)(C)c1ccc(O)cc1,-2.41
sample_1079,Oc1cccc2cccnc12,-2.42
sample_1080,CCCCCCOC(C)=O,-2.46
sample_1081,CC1CCC(C(C)C)C(=O)C1,-2.49
sample_1082,Cc1ccc([N+](=O)[O-])cc1,-2.49
sample_1083,CCC(C)(C)Cl,-2.51
sample_1084,OC(Cc1ccccc1)c1ccccc1,-2.52
sample_1085,CC1CCC(C(C)C)C(O)C1,-2.53
sample_1086,ClC(Cl)=C(Cl)Cl,-2.54
sample_1087,Brc1ccccc1,-2.55
sample_1088,OC(c1ccccc1)c1ccccc1,-2.55
sample_1089,CON(C)C(=O)Nc1ccc(Cl)cc1,-2.57
sample_1090,CCC(N)Cc1c[nH]c2ccccc12,-2.57
sample_1091,NC(Cc1ccc(O)cc1)C(=O)O,-2.57
sample_1092,CCCCCCc1ccc(O)cc1O,-2.59
sample_1093,CCCCC(=O)CCCC,-2.59
sample_1094,CC1(C)C(=O)N(Cl)C(=O)N1Cl,-2.6
sample_1095,Cc1ccc(C(=O)O)cc1,-2.6
sample_1096,O=C1NC(=O)c2ccccc21,-2.61
sample_1097,CCC1CN2CCC1CC2C(O)c1ccnc2ccccc12,-2.63
sample_1098,CCC(Cl)CC,-2.63
sample_1099,CCC1(C2=CC3CCC(C2)C3)C(=O)NC(=O)NC1=O,-2.64
sample_1100,CCC1(c2ccccc2)C(=O)NCNC1=O,-2.64
sample_1101,CCCOC(=O)c1ccccc1,-2.67
sample_1102,NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O,-2.68
sample_1103,CCC(Br)(CC)C(=O)NC(N)=O,-2.68
sample_1104,O=C1C=C2CC3(O)COc4c(ccc(O)c4O)C3=C2C=C1O,-2.7
sample_1105,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,-2.7
sample_1106,S=c1cnc2cncnc2[nH]1,-2.71
sample_1107,CCCCCCCCN,-2.75
sample_1108,CCc1ccccc1,-2.77
sample_1109,Cc1ccc(C)cc1,-2.77
sample_1110,O=C1c2ccccc2C(=O)c2c1ccc(O)c2O,-2.78
sample_1111,Ic1ccccc1,-2.78
sample_1112,O=C(O)c1ccc([N+](=O)[O-])cc1,-2.8
sample_1113,Cc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,-2.82
sample_1114,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,-2.82
sample_1115,C=Cc1ccccc1,-2.82
sample_1116,O=C(c1ccccc1)C(O)c1ccccc1,-2.85
sample_1117,Cc1cc(Cl)ccc1N=CN(C)C,-2.86
sample_1118,CNc1ccccc1C(=O)O,-2.88
sample_1119,c1ccc(NNc2ccccc2)cc1,-2.92
sample_1120,O=C(O)COc1cc(Cl)c(Cl)cc1Cl,-2.96
sample_1121,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,-2.97
sample_1122,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21,-2.98
sample_1123,CC1CC2C(C(O)CC3(C)C2CCC3(O)C(=O)CO)C2(C)C=CC(=O)C=C12,-2.99
sample_1124,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,-3.03
sample_1125,CC1=CC(=O)c2ccccc2C1=O,-3.03
sample_1126,FC(F)(Cl)C(F)(Cl)Cl,-3.04
sample_1127,Clc1cccc(Cl)c1,-3.04
sample_1128,c1ccc2c(c1)CCC2,-3.04
sample_1129,CC(=O)Nc1ccc(Br)cc1,-3.08
sample_1130,Cc1ccc(Cl)cc1,-3.08
sample_1131,O=C(O)Cc1c(Cl)ccc(Cl)c1Cl,-3.08
sample_1132,C1CCCCC1,-3.1
sample_1133,O=C(c1ccccc1)c1ccccc1,-3.12
sample_1134,Nc1cnn(-c2ccccc2)c(=O)c1Br,-3.12
sample_1135,CC(C)CCOC(=O)c1ccccc1O,-3.16
sample_1136,CCCCCCCCC=O,-3.17
sample_1137,Cc1ccc(Br)cc1,-3.19
sample_1138,Clc1ccccc1Br,-3.19
sample_1139,CC1CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC3OC3C=CC(=O)O1)CC(O)C2C(=O)O,-3.21
sample_1140,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,-3.21
sample_1141,O=C1NCCN1c1ncc([N+](=O)[O-])s1,-3.22
sample_1142,C=CCC(C)C,-3.24
sample_1143,Clc1ccc(Cl)cc1,-3.27
sample_1144,CC(=O)CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,-3.27
sample_1145,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,-3.28
sample_1146,CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1,-3.29
sample_1147,CCCCCCCCOC(N)=O,-3.3
sample_1148,CCCCN(CC)C(=O)SCCC,-3.35
sample_1149,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,-3.38
sample_1150,CC(C)OC(=O)Nc1cccc(Cl)c1,-3.38
sample_1151,CCCCCCCC(=O)OCC,-3.39
sample_1152,CCSC(=O)N(CC)C1CCCCC1,-3.4
sample_1153,O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1,-3.46
sample_1154,Ic1[nH]c(I)c(I)c1I,-3.46
sample_1155,Brc1cccc(Br)c1,-3.54
sample_1156,CC(C)c1ccc(NC(=O)N(C)C)cc1,-3.54
sample_1157,CCCCCCCCCCC(=O)O,-3.55
sample_1158,CC12CC(O)C3C(CCC4CC(O)CCC43C)C1CCC2=O,-3.59
sample_1159,O=C1CC(c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21,-3.62
sample_1160,COc1c2occc2cc2ccc(=O)oc12,-3.66
sample_1161,CCOC(=O)C(c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,-3.66
sample_1162,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,-3.66
sample_1163,CC(C)(C)c1ccccc1,-3.66
sample_1164,c1ccc2nc3ccccc3cc2c1,-3.67
sample_1165,CCC(C)CC,-3.68
sample_1166,CCSC(=O)N(CC(C)C)CC(C)C,-3.68
sample_1167,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,-3.68
sample_1168,Cc1ccc2nc(-c3ccc(N)cc3)sc2c1,-3.68
sample_1169,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,-3.7
sample_1170,Cc1cccc2ccccc12,-3.7
sample_1171,CC(C)(C)c1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,-3.74
sample_1172,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12,-3.75
sample_1173,Clc1cccc(C(Cl)(Cl)Cl)n1,-3.76
sample_1174,Cc1ccc(C(C)C)cc1,-3.77
sample_1175,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.77
sample_1176,Cc1cccc(Nc2ccccc2C(=O)O)c1C,-3.78
sample_1177,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,-3.8
sample_1178,CCCCCCCCC(=O)OCC,-3.8
sample_1179,CC(C)C1=CC2=CCC3C(C)(C(=O)O)CCCC3(C)C2CC1,-3.8
sample_1180,Cc1cc(S(=O)(=O)c2ccccc2)ccc1NS(=O)(=O)C(F)(F)F,-3.8
sample_1181,CC=CCCCC,-3.82
sample_1182,CCCCCC,-3.84
sample_1183,CC12CCC(=O)C=C1CCC1C2C2CC3(C(O)O2)C(C(=O)CO)CCC13,-3.85
sample_1184,CC1CCCCC1,-3.85
sample_1185,COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1,-3.88
sample_1186,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,-3.89
sample_1187,CN(C)C(=S)SSC(=S)N(C)C,-3.9
sample_1188,C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,-3.9
sample_1189,CN1c2ccccc2Sc2ccc(CC(=O)O)cc21,-3.94
sample_1190,CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,-3.95
sample_1191,c1ccc(Oc2ccccc2)cc1,-3.96
sample_1192,CCCCCCCCl,-3.99
sample_1193,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,-3.99
sample_1194,Cc1cc(C)c(C)c(C)c1C,-4
sample_1195,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC21C,-4
sample_1196,Clc1cccc(Cl)c1Cl,-4
sample_1197,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,-4.04
sample_1198,CCCCc1ccccc1,-4.06
sample_1199,Brc1ccc(Br)cc1,-4.07
sample_1200,CSc1nc(NC(C)C)nc(NC(C)C)n1,-4.1
sample_1201,CCOP(=S)(OCC)SCSCC,-4.11
sample_1202,COc1ccc2c(c1OC)C(=O)OC2C1c2cc3c(cc2CCN1C)OCO3,-4.11
sample_1203,CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.13
sample_1204,C1CCCCCCC1,-4.15
sample_1205,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,-4.16
sample_1206,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,-4.17
sample_1207,ClC(Cl)=CC(Cl)=C(Cl)Cl,-4.23
sample_1208,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,-4.26
sample_1209,CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,-4.28
sample_1210,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-4.28
sample_1211,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,-4.29
sample_1212,CCc1ccc2ccccc2c1,-4.29
sample_1213,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,-4.3
sample_1214,CN(C)CCCN1c2ccccc2Sc2ccccc21,-4.3
sample_1215,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1Cl,-4.31
sample_1216,CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,-4.32
sample_1217,c1ccc2c(c1)sc1ccccc12,-4.38
sample_1218,OC(c1ccc(Cl)cc1)(c1cncnc1)c1ccccc1Cl,-4.38
sample_1219,C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,-4.42
sample_1220,CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,-4.43
sample_1221,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,-4.43
sample_1222,CCCCCCCBr,-4.43
sample_1223,CN(C)CCC=C1c2ccccc2CCc2ccccc21,-4.46
sample_1224,CC(=O)Oc1c(C(C)(C)C)cc([N+](=O)[O-])c(C)c1[N+](=O)[O-],-4.47
sample_1225,Clc1cc(Cl)cc(Cl)c1,-4.48
sample_1226,CC1CCC(C)(C)C1,-4.48
sample_1227,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,-4.52
sample_1228,CC(C)OC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,-4.53
sample_1229,COP(=S)(OC)Oc1ccc(SC)c(C)c1,-4.57
sample_1230,CC(C)(C)C(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,-4.58
sample_1231,O=c1oc(-c2ccccc2)nc2ccccc12,-4.61
sample_1232,c1ccc(CCc2ccccc2)cc1,-4.62
sample_1233,CC(=O)OCC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-4.63
sample_1234,CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,-4.65
sample_1235,Cc1cc2ccccc2cc1C,-4.72
sample_1236,Oc1c2ccccc2cc2ccccc12,-4.73
sample_1237,C#CC1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,-4.79
sample_1238,COP(=S)(OC)Oc1nc(Cl)c(Cl)cc1Cl,-4.82
sample_1239,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,-4.84
sample_1240,CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C,-4.88
sample_1241,CN(C)C(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1,-4.89
sample_1242,Cc1ccc2cc(C)ccc2c1,-4.89
sample_1243,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,-4.91
sample_1244,CCCN(CCC)c1c([N+](=O)[O-])cc(S(N)(=O)=O)cc1[N+](=O)[O-],-5.16
sample_1245,Clc1ccc(-c2ccccc2)cc1,-5.2
sample_1246,CCCCCCc1ccccc1,-5.21
sample_1247,CC12CCc3c(ccc4cc(O)ccc34)C1CCC2=O,-5.24
sample_1248,CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C,-5.24
sample_1249,c1ccc2c(c1)ccc1ccccc12,-5.26
sample_1250,CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,-5.38
sample_1251,OC1C=CC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,-5.46
sample_1252,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,-5.64
sample_1253,CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-5.68
sample_1254,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-5.74
sample_1255,Clc1cccc(-c2cccc(Cl)c2)c1,-5.8
sample_1256,Cc1c2ccccc2cc2ccccc12,-5.89
sample_1257,c1cc2c3c(ccc4c3c1CCC4)CCC2,-5.96
sample_1258,Clc1ccc(Cl)c(-c2ccccc2Cl)c1,-6.02
sample_1259,COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,-6.09
sample_1260,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,-6.18
sample_1261,Clc1ccc(-c2ccc(Cl)cc2Cl)cc1,-6.21
sample_1262,ClC1=C(Cl)C2(Cl)C3C4OC4C(Cl)C3C1(Cl)C2(Cl)Cl,-6.29
sample_1263,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,-6.29
sample_1264,Clc1ccc(Cl)c(-c2ccccc2)c1Cl,-6.29
sample_1265,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,-6.32
sample_1266,Clc1ccc(-c2ccc(Cl)cc2Cl)c(Cl)c1,-6.51
sample_1267,Clc1ccc(C(c2ccccc2Cl)C(Cl)(Cl)Cl)cc1,-6.62
sample_1268,Cc1cc(O)ccc1OP(=O)(Oc1cc(O)ccc1C)Oc1c(C)cccc1O,-6.7
sample_1269,CCCCCCCCCCCCCCCC(=O)O,-6.81
sample_1270,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,-6.89
sample_1271,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,-6.96
sample_1272,Clc1ccc(Cl)c(-c2cc(Cl)ccc2Cl)c1,-7
sample_1273,Clc1cccc(-c2ccc(Cl)c(Cl)c2Cl)c1Cl,-7.05
sample_1274,Clc1cc(-c2ccccc2)c(Cl)c(Cl)c1Cl,-7.16
sample_1275,CCCCCCCCCCCCCCCCO,-7.26
sample_1276,ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,-7.33
sample_1277,c1ccc2c(c1)c1cccc3ccc4cccc2c4c31,-7.8
